,Date.Day,Date.Month,Date.Year,Data.Cases,Data.Deaths,Location.Country,Location.Code,Data.Population,Location.Continent,Data.Rate
1464,21,1,2020,1,0,United_States_of_America,USA,329064917,America,0.00030389
1475,22,1,2020,0,0,Brazil,BRA,211049519,America,0.0
1477,22,1,2020,0,0,Canada,CAN,37411038,America,0.0
1483,22,1,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
1484,22,1,2020,0,0,Ecuador,ECU,17373657,America,0.0
1506,22,1,2020,0,0,Mexico,MEX,127575529,America,0.00078385
1531,22,1,2020,0,0,United_States_of_America,USA,329064917,America,0.00030389
1542,23,1,2020,0,0,Brazil,BRA,211049519,America,0.0
1544,23,1,2020,0,0,Canada,CAN,37411038,America,0.0
1550,23,1,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
1551,23,1,2020,0,0,Ecuador,ECU,17373657,America,0.0
1573,23,1,2020,0,0,Mexico,MEX,127575529,America,0.00078385
1598,23,1,2020,0,0,United_States_of_America,USA,329064917,America,0.00030389
1609,24,1,2020,0,0,Brazil,BRA,211049519,America,0.0
1611,24,1,2020,0,0,Canada,CAN,37411038,America,0.0
1617,24,1,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
1618,24,1,2020,0,0,Ecuador,ECU,17373657,America,0.0
1640,24,1,2020,0,0,Mexico,MEX,127575529,America,0.00078385
1665,24,1,2020,0,0,United_States_of_America,USA,329064917,America,0.00030389
1676,25,1,2020,0,0,Brazil,BRA,211049519,America,0.0
1678,25,1,2020,0,0,Canada,CAN,37411038,America,0.0
1684,25,1,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
1685,25,1,2020,0,0,Ecuador,ECU,17373657,America,0.0
1707,25,1,2020,0,0,Mexico,MEX,127575529,America,0.00078385
1732,25,1,2020,1,0,United_States_of_America,USA,329064917,America,0.00060778
1743,26,1,2020,0,0,Brazil,BRA,211049519,America,0.0
1745,26,1,2020,1,0,Canada,CAN,37411038,America,0.00267301
1751,26,1,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
1752,26,1,2020,0,0,Ecuador,ECU,17373657,America,0.0
1774,26,1,2020,0,0,Mexico,MEX,127575529,America,0.00078385
1799,26,1,2020,0,0,United_States_of_America,USA,329064917,America,0.00060778
1810,27,1,2020,0,0,Brazil,BRA,211049519,America,0.0
1812,27,1,2020,0,0,Canada,CAN,37411038,America,0.00267301
1818,27,1,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
1819,27,1,2020,0,0,Ecuador,ECU,17373657,America,0.0
1841,27,1,2020,0,0,Mexico,MEX,127575529,America,0.00078385
1866,27,1,2020,3,0,United_States_of_America,USA,329064917,America,0.00151946
1877,28,1,2020,0,0,Brazil,BRA,211049519,America,0.0
1879,28,1,2020,1,0,Canada,CAN,37411038,America,0.00534602
1885,28,1,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
1886,28,1,2020,0,0,Ecuador,ECU,17373657,America,0.0
1908,28,1,2020,0,0,Mexico,MEX,127575529,America,0.0
1933,28,1,2020,0,0,United_States_of_America,USA,329064917,America,0.00151946
1944,29,1,2020,0,0,Brazil,BRA,211049519,America,0.0
1946,29,1,2020,1,0,Canada,CAN,37411038,America,0.00801902
1952,29,1,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
1953,29,1,2020,0,0,Ecuador,ECU,17373657,America,0.0
1975,29,1,2020,0,0,Mexico,MEX,127575529,America,0.0
2000,29,1,2020,0,0,United_States_of_America,USA,329064917,America,0.00151946
2011,30,1,2020,0,0,Brazil,BRA,211049519,America,0.0
2013,30,1,2020,0,0,Canada,CAN,37411038,America,0.00801902
2019,30,1,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
2020,30,1,2020,0,0,Ecuador,ECU,17373657,America,0.0
2042,30,1,2020,1,0,Mexico,MEX,127575529,America,0.00078385
2067,30,1,2020,0,0,United_States_of_America,USA,329064917,America,0.00151946
2078,31,1,2020,0,0,Brazil,BRA,211049519,America,0.0
2080,31,1,2020,0,0,Canada,CAN,37411038,America,0.00801902
2086,31,1,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
2087,31,1,2020,0,0,Ecuador,ECU,17373657,America,0.0
2109,31,1,2020,0,0,Mexico,MEX,127575529,America,0.00078385
2134,31,1,2020,1,0,United_States_of_America,USA,329064917,America,0.00182335
2145,1,2,2020,0,0,Brazil,BRA,211049519,America,0.0
2147,1,2,2020,1,0,Canada,CAN,37411038,America,0.01069203
2153,1,2,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
2154,1,2,2020,0,0,Ecuador,ECU,17373657,America,0.0
2176,1,2,2020,0,0,Mexico,MEX,127575529,America,0.00078385
2201,1,2,2020,1,0,United_States_of_America,USA,329064917,America,0.00212724
2212,2,2,2020,0,0,Brazil,BRA,211049519,America,0.0
2214,2,2,2020,0,0,Canada,CAN,37411038,America,0.01069203
2220,2,2,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
2221,2,2,2020,0,0,Ecuador,ECU,17373657,America,0.0
2243,2,2,2020,0,0,Mexico,MEX,127575529,America,0.00078385
2268,2,2,2020,1,0,United_States_of_America,USA,329064917,America,0.00243113
2279,3,2,2020,0,0,Brazil,BRA,211049519,America,0.0
2281,3,2,2020,0,0,Canada,CAN,37411038,America,0.01069203
2287,3,2,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
2288,3,2,2020,0,0,Ecuador,ECU,17373657,America,0.0
2310,3,2,2020,0,0,Mexico,MEX,127575529,America,0.00078385
2335,3,2,2020,3,0,United_States_of_America,USA,329064917,America,0.00334281
2346,4,2,2020,0,0,Brazil,BRA,211049519,America,0.0
2348,4,2,2020,0,0,Canada,CAN,37411038,America,0.01069203
